place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJwfQF4sMJ9YgR0B2QghkM1Qk,Gold Stars Roof Inc,,False,174,http://goldstarsroof.com/,Gold Stars Roof Inc (Owner),https://www.google.com/maps/contrib/112973789650140021228,https://lh5.googleusercontent.com/p/AF1QipOj6Ly0RLlvZDyFVr9X4XPW2e0-vusykkBM1JB0=w408-h306-k-no,Roofing contractor,Roofing contractor,4.6,Open 24 hours,,(404) 857-0033,"Gold Stars Roof Inc, 53 Perimeter Center E Suite 210, Atlanta, GA 30346","job, team, quality, insurance company, inspection, pay, information, home, sales, adjuster",https://www.google.com/maps/place/Gold+Stars+Roof+Inc/data=!4m7!3m6!1s0x88f509c3e205f4c1:0x9d50c1982901dd0!8m2!3d33.9221944!4d-84.33144!16s%2Fg%2F11sht3fxj8!19sChIJwfQF4sMJ9YgR0B2QghkM1Qk?authuser=0&hl=en&rclk=1
ChIJW_2Sid2j9YgRX5mBzx9ikW8,"High Quality Roofing, LLC",,False,160,http://www.highqualityroofingatl.com/,"High Quality Roofing, LLC (Owner)",https://www.google.com/maps/contrib/104974667356960471802,https://lh5.googleusercontent.com/p/AF1QipMwFXlLBQWhz8tx1d5yUKGAyfgeo4DDcH8OXLwT=w408-h271-k-no,Roofing contractor,"Roofing contractor, Construction company",5,9 AM-5 PM,"Saturday, Sunday",(404) 642-6760,"High Quality Roofing, LLC, 6050 Dawson Blvd suite L, Norcross, GA 30093","team, insurance company, project manager, labor, damage, property, needs, efficient, patient, happy","https://www.google.com/maps/place/High+Quality+Roofing,+LLC/data=!4m7!3m6!1s0x88f5a3dd8992fd5b:0x6f91621fcf81995f!8m2!3d33.9071728!4d-84.2096818!16s%2Fg%2F11hfm1sdzq!19sChIJW_2Sid2j9YgRX5mBzx9ikW8?authuser=0&hl=en&rclk=1"
ChIJD9Kx3RPu9YgRhFI1FFzqbGg,Georgia Roof LLC,,False,159,https://www.georgiaroof.com/roofers-sugar-hill-ga/,Georgia Roof LLC (Owner),https://www.google.com/maps/contrib/117821566467999384354,https://lh5.googleusercontent.com/p/AF1QipPvvpr7z9umIBmpeRjftg601-hFwVeYyn1NzJsd=w408-h306-k-no,Roofing contractor,Roofing contractor,4.9,8 AM-6 PM,Sunday,(678) 672-5391,"Georgia Roof LLC, 5805 Sugar Crossing Dr, Sugar Hill, GA 30518","job, gutters, work, project, communication, contractors, questions, estimate, responsive, selection",https://www.google.com/maps/place/Georgia+Roof+LLC/data=!4m7!3m6!1s0x88f5ee13ddb1d20f:0x686cea5c14355284!8m2!3d34.1230429!4d-84.0535379!16s%2Fg%2F11h9y63slv!19sChIJD9Kx3RPu9YgRhFI1FFzqbGg?authuser=0&hl=en&rclk=1
ChIJ7eRJojU69YgRtENI7M7P7yY,Elite Roofing of Georgia - Roofing Company,,False,156,https://myeliteroofer.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-primary-link,Elite Roofing of Georgia - Roofing Company (Owner),https://www.google.com/maps/contrib/112896910797961386632,https://lh5.googleusercontent.com/p/AF1QipPg_Yr3OLRVaIBoCnU3XZd3_fg1LyIEznRAkOXi=w426-h240-k-no,Roofing contractor,Roofing contractor,4.8,9 AM-4 PM,"Saturday, Sunday",(770) 445-1290,"Elite Roofing of Georgia - Roofing Company, 300 WI Pkwy Suite 310, Dallas, GA 30157","job, work, questions, communication, insurance, project, estimate, cleaned, quote, product",https://www.google.com/maps/place/Elite+Roofing+of+Georgia+-+Roofing+Company/data=!4m7!3m6!1s0x88f53a35a249e4ed:0x26efcfceec4843b4!8m2!3d33.9119551!4d-84.7976749!16s%2Fg%2F11y2p_t65!19sChIJ7eRJojU69YgRtENI7M7P7yY?authuser=0&hl=en&rclk=1
ChIJQaSTDs3f84gRdVGH6n94Ouo,Middle Georgia Roofing,,False,139,http://www.middlegaroofing.com/,Middle Georgia Roofing (Owner),https://www.google.com/maps/contrib/115239473232230803431,https://lh5.googleusercontent.com/p/AF1QipOtiXL9b8uiZZJjW8Gby0fkPdgVigSM5bwV8WBK=w426-h240-k-no,Roofing contractor,"Roofing contractor, Bathroom remodeler, Service establishment, General contractor, Kitchen remodeler, Siding contractor",4.8,8 AM-5 PM,"Saturday, Sunday",(478) 960-8706,,"job, work, insurance, quality, questions, construction, call, repair, addition, rain",https://www.google.com/maps/place/Middle+Georgia+Roofing/data=!4m7!3m6!1s0x88f3dfcd0e93a441:0xea3a787fea875175!8m2!3d32.67853!4d-83.1940624!16s%2Fg%2F11b6hmwl_g!19sChIJQaSTDs3f84gRdVGH6n94Ouo?authuser=0&hl=en&rclk=1
ChIJg49fo1Vb9IgRlFhnLAQSzrY,Stress Free Roofing,,False,138,https://www.stressfreeroofing.com/,Stress Free Roofing (Owner),https://www.google.com/maps/contrib/116883987301278320067,https://lh5.googleusercontent.com/p/AF1QipNObZ-4qF_qn1SBsk9EHDb26Kp70wrBHX91Xc3-=w408-h544-k-no,Roofing contractor,Roofing contractor,4.9,,,(770) 268-1839,"Stress Free Roofing, 370 Waterfront Dr, McDonough, GA 30253","gutters, job, communication, project, estimate, questions, information, insurance, name, happy",https://www.google.com/maps/place/Stress+Free+Roofing/data=!4m7!3m6!1s0x88f45b55a35f8f83:0xb6ce12042c675894!8m2!3d33.4601585!4d-84.1652855!16s%2Fg%2F11hf0c_xnq!19sChIJg49fo1Vb9IgRlFhnLAQSzrY?authuser=0&hl=en&rclk=1
ChIJrdRhh7W69YgRcckd8CMB1JI,Superior Roofing Company of Georgia,,False,137,https://www.superiorroofs.com/,Superior Roofing Company of Georgia (Owner),https://www.google.com/maps/contrib/111337927209645769331,https://lh5.googleusercontent.com/p/AF1QipNGkvPD1YAHY1B2h3RwkF0VLXMXQVVnvY1zayKm=w408-h544-k-no,Roofing contractor,Roofing contractor,5,8 AM-5 PM,"Saturday, Sunday",(770) 766-1448,"Superior Roofing Company of Georgia, 315 Nunnally Rdg Ct, Monroe, GA 30655","job, leak, work, gutter, questions, property, chimney, estimate, quote, project manager",https://www.google.com/maps/place/Superior+Roofing+Company+of+Georgia/data=!4m7!3m6!1s0x88f5bab58761d4ad:0x92d40123f01dc971!8m2!3d33.7934628!4d-83.8085572!16s%2Fg%2F1tt8d37r!19sChIJrdRhh7W69YgRcckd8CMB1JI?authuser=0&hl=en&rclk=1
ChIJ6Ti8Jo0W9YgRTt7gfQCkj7M,Atlanta Roofing Specialists,,False,136,https://www.atlantaroofingspecialists.com/,Atlanta Roofing Specialists (Owner),https://www.google.com/maps/contrib/103554150321090555932,https://lh5.googleusercontent.com/p/AF1QipPShZpYkM9U_HxGIFWffIQe_lRcbdoJLqrig57U=w443-h240-k-no,Roofing contractor,Roofing contractor,4.7,9 AM-5 PM,"Saturday, Sunday",(770) 419-2222,"Atlanta Roofing Specialists, 1232 Sandtown Rd SW, Marietta, GA 30008","job, project, communication, inspection, sales, work, estimate, insurance company, debris, damage",https://www.google.com/maps/place/Atlanta+Roofing+Specialists/data=!4m7!3m6!1s0x88f5168d26bc38e9:0xb38fa4007de0de4e!8m2!3d33.9227636!4d-84.5559067!16s%2Fg%2F1wh4gpwf!19sChIJ6Ti8Jo0W9YgRTt7gfQCkj7M?authuser=0&hl=en&rclk=1
ChIJdUTgZaHO9IgR6989MXvrCkc,"Radiant Roofing Solutions Atlanta, LLC",,False,128,https://www.radiantroofingatlanta.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing,"Radiant Roofing Solutions Atlanta, LLC (Owner)",https://www.google.com/maps/contrib/112911031512644216515,https://lh5.googleusercontent.com/p/AF1QipPWI8ar3DiY8ITgbQI1Q42r-dbxCuQMDTADyVmc=w408-h372-k-no,Roofing contractor,"Roofing contractor, Service establishment",5,7 AM-7 PM,Sunday,(404) 538-1700,,"crew, cleaned, project, attic, radiant barrier, efficient, skylights, fair, quote, energy","https://www.google.com/maps/place/Radiant+Roofing+Solutions+Atlanta,+LLC/data=!4m7!3m6!1s0x88f4cea165e04475:0x470aeb7b313ddfeb!8m2!3d33.731282!4d-84.3278884!16s%2Fg%2F11fx95wzkg!19sChIJdUTgZaHO9IgR6989MXvrCkc?authuser=0&hl=en&rclk=1"
ChIJR_tLmVV09YgRNsRAmAlJ-xY,Atlanta Metro Roofing,,False,126,http://www.atlantametroroofing.com/,Atlanta Metro Roofing (Owner),https://www.google.com/maps/contrib/116621792903483009878,https://lh5.googleusercontent.com/p/AF1QipPPF7joHgHvU2giYbiGavzC3KL3SPcs6IC2uVQ=w408-h305-k-no,Roofing contractor,Roofing contractor,5,9 AM-5 PM,Sunday,(770) 220-7263,"Atlanta Metro Roofing, 1061 Cambridge Square A, Alpharetta, GA 30009","insurance, job, questions, leak, inspection, paint, inspector, fair, the future, information",https://www.google.com/maps/place/Atlanta+Metro+Roofing/data=!4m7!3m6!1s0x88f57455994bfb47:0x16fb49099840c436!8m2!3d34.0676928!4d-84.3151027!16s%2Fg%2F1hc3y0pv3!19sChIJR_tLmVV09YgRNsRAmAlJ-xY?authuser=0&hl=en&rclk=1
ChIJAS7IRXgE9YgRjV1CnIlwmmg,Mr Roofer of Atlanta,,False,124,http://www.mrrooferatlanta.com/,Mr Roofer of Atlanta (Owner),https://www.google.com/maps/contrib/101199140493288078163,https://lh5.googleusercontent.com/p/AF1QipOD1KIGFmymyGswWVqBs5y0OelRJTILZnXgiImI=w408-h271-k-no,Roofing contractor,Roofing contractor,4.9,8 AM-5 PM,"Saturday, Sunday",(770) 212-3354,"Mr Roofer of Atlanta, 3500 Lenox Rd NE Ste. 1500, Atlanta, GA 30326","job, leak, price, insurance, project, quality, home, inspection, work, estimate",https://www.google.com/maps/place/Mr+Roofer+of+Atlanta/data=!4m7!3m6!1s0x88f5047845c82e01:0x689a70899c425d8d!8m2!3d33.8520262!4d-84.366222!16s%2Fg%2F12q4q8y7h!19sChIJAS7IRXgE9YgRjV1CnIlwmmg?authuser=0&hl=en&rclk=1
ChIJs9i6suQ_9YgRjGezzIS5wDk,Academy Roofing,,False,124,https://roofingprofessor.com/,Academy Roofing (Owner),https://www.google.com/maps/contrib/107547439085249971220,https://lh5.googleusercontent.com/p/AF1QipO8NWz99_AcFAYh79_XR8xA4tz_ot8EJfYNEVWC=w408-h306-k-no,Roofing contractor,Roofing contractor,4.5,8 AM-5 PM,"Saturday, Sunday",(678) 384-7663,"Academy Roofing, 4463 Cherokee Street Suite 200 Office, Number 3, Acworth, GA 30101","job, leak, repair, water, warranty, honest, insurance, pictures, shingles, estimate",https://www.google.com/maps/place/Academy+Roofing/data=!4m7!3m6!1s0x88f53fe4b2bad8b3:0x39c0b984ccb3678c!8m2!3d34.0669685!4d-84.6769817!16s%2Fg%2F12cpmrxvy!19sChIJs9i6suQ_9YgRjGezzIS5wDk?authuser=0&hl=en&rclk=1
ChIJ72Csht879YgRJEIGa6RpHSU,JP Roofing Services,,False,101,http://www.jproofingservices.com/,JP Roofing Services (Owner),https://www.google.com/maps/contrib/111926260404525499260,https://lh5.googleusercontent.com/p/AF1QipOSBCvoCew362O5W6SlzgQl6QGMrtT11t5Z3ggi=w408-h306-k-no,Roofing contractor,"Roofing contractor, Construction company, Flooring contractor, Kitchen remodeler",4.9,Open 24 hours,,(770) 598-4788,"JP Roofing Services, 691 14th St NW suite 616, Atlanta, GA 30318","team, job, insurance company, quality, communication, price, gutters, inspection, products, tree",https://www.google.com/maps/place/JP+Roofing+Services/data=!4m7!3m6!1s0x88f53bdf86ac60ef:0x251d69a46b064224!8m2!3d33.7862223!4d-84.4107829!16s%2Fg%2F11k6zhj9kv!19sChIJ72Csht879YgRJEIGa6RpHSU?authuser=0&hl=en&rclk=1
ChIJ3QhqLDeX9YgRyOaIo7ILhJM,ATL Roofing Pros,,False,101,https://atlantaroofingcontractors.net/?utm_source=local&utm_medium=organic&utm_campaign=gmb,ATL Roofing Pros (Owner),https://www.google.com/maps/contrib/108906099631612117289,https://lh5.googleusercontent.com/p/AF1QipPZ7LzcGIWbl7OWQrVB9QnUYXfSlpM6QFtEuLVZ=w408-h293-k-no,Roofing contractor,"Roofing contractor, Chimney services, Gutter cleaning service, Painting, Repair service",4.9,8 AM-6 PM,Sunday,(404) 902-8799,"ATL Roofing Pros, 1000 Peachtree Industrial Blvd suite 6-438, Suwanee, GA 30024","job, leak, call, gutters, team, work, inspection, responsive, home, quote",https://www.google.com/maps/place/ATL+Roofing+Pros/data=!4m7!3m6!1s0x88f597372c6a08dd:0x93840bb2a388e6c8!8m2!3d34.049758!4d-84.0889092!16s%2Fg%2F11bbrgs_n1!19sChIJ3QhqLDeX9YgRyOaIo7ILhJM?authuser=0&hl=en&rclk=1
ChIJ5wMxMje99YgR6Ege4jFw1qQ,The Roof Clinic,,False,101,https://theroofclinic.com/,The Roof Clinic (Owner),https://www.google.com/maps/contrib/117996337364870803137,https://lh5.googleusercontent.com/p/AF1QipNODnyVy6Bw02CbXgwlT7mGva_PsXHBvGkFn9ut=w408-h306-k-no,Roofing contractor,Roofing contractor,4.8,Open 24 hours,Sunday,(678) 765-2992,"The Roof Clinic, 1400 Buford Hwy NE Ste F5, Sugar Hill, GA 30518","job, inspection, work, leak, call, estimate, home, responsive, insurance company, pictures",https://www.google.com/maps/place/The+Roof+Clinic/data=!4m7!3m6!1s0x88f5bd37323103e7:0xa4d67031e21e48e8!8m2!3d34.0938676!4d-84.0174423!16s%2Fg%2F11b6dx9cgn!19sChIJ5wMxMje99YgR6Ege4jFw1qQ?authuser=0&hl=en&rclk=1
ChIJFfavFk6n9YgRrnNtuBWN5LU,Roof US,,False,100,http://www.roofus247.com/,Roof US (Owner),https://www.google.com/maps/contrib/101286567325582989421,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8jw3dUNCJx6G5k0Cis4zNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=318.9408&pitch=0&thumbfov=100,Roofing contractor,Roofing contractor,4.5,8 AM-6 PM,Sunday,(770) 368-0005,"Roof US, 4025 Pleasantdale Rd #320, Atlanta, GA 30340","job, insurance, inspection, team, communication, work, pay, property, wind, informative",https://www.google.com/maps/place/Roof+US/data=!4m7!3m6!1s0x88f5a74e16aff615:0xb5e48d15b86d73ae!8m2!3d33.8998368!4d-84.2427765!16s%2Fg%2F11fl1g_3rw!19sChIJFfavFk6n9YgRrnNtuBWN5LU?authuser=0&hl=en&rclk=1
ChIJaaBaNhkF9YgRjD2CEno5-98,New Image Roofing,,False,99,https://www.newimageroofingatlanta.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-listing%26y_source%3D1_MTUxNDc4NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,New Image Roofing (Owner),https://www.google.com/maps/contrib/115677217224405371319,https://lh5.googleusercontent.com/p/AF1QipNYudzRsmoBBLVdiGSRQFeJARIZGGhlo0Efz5JM=w427-h240-k-no,Roofing contractor,"Roofing contractor, Roofing supply store",4.8,9 AM-9 PM,Sunday,(404) 680-0041,"New Image Roofing, 2020 Howell Mill Rd NW Suite 232, Atlanta, GA 30318","insurance adjuster, insurance company, home, price, warranty, project, estimate, review, leak, honest",https://www.google.com/maps/place/New+Image+Roofing/data=!4m7!3m6!1s0x88f50519365aa069:0xdffb397a12823d8c!8m2!3d33.810158!4d-84.4149153!16s%2Fg%2F1hc2t0z6r!19sChIJaaBaNhkF9YgRjD2CEno5-98?authuser=0&hl=en&rclk=1
ChIJHd_JI1Yw9YgR1skNuIInlQ0,Adamson Roofing Company,,False,95,https://www.adamsonroofingcompany.com/,Adamson Roofing Company (Owner),https://www.google.com/maps/contrib/109314646440540011938,https://lh5.googleusercontent.com/p/AF1QipM0GFbtFpyKLjKS3iFZk2qpc-vziRhdEUmLIJJb=w408-h544-k-no,Roofing contractor,"Roofing contractor, Siding contractor",4.9,Open 24 hours,,(678) 424-1919,"Adamson Roofing Company, 2129 Old Concord Rd, Smyrna, GA 30080","job, clean, quotes, estimate, work, product, efficient, questions, warranty, decision",https://www.google.com/maps/place/Adamson+Roofing+Company/data=!4m7!3m6!1s0x88f5305623c9df1d:0xd952782b80dc9d6!8m2!3d33.9014279!4d-84.5397477!16s%2Fg%2F1hc9kckkz!19sChIJHd_JI1Yw9YgR1skNuIInlQ0?authuser=0&hl=en&rclk=1
ChIJEXZjSObTn4ERINFnOeKs8zs,Roofing Magic Atlanta,,False,92,https://www.shinglemagicatlanta.com/,Roofing Magic Atlanta (Owner),https://www.google.com/maps/contrib/117129638792188925496,https://lh5.googleusercontent.com/p/AF1QipP8_28Jc2DC8n3oGouYJbkjMd7gGQhUghYP_ISz=w426-h240-k-no,Roofing contractor,Roofing contractor,5,8 AM-6 PM,Sunday,(404) 595-3905,"Roofing Magic Atlanta, 1005 Alderman Dr Suite 107, Alpharetta, GA 30005","product, project, quality, inspection, gutters, price, informative, communication, team, presentation",https://www.google.com/maps/place/Roofing+Magic+Atlanta/data=!4m7!3m6!1s0x819fd3e648637611:0x3bf3ace23967d120!8m2!3d34.0947997!4d-84.243438!16s%2Fg%2F11t9mlch77!19sChIJEXZjSObTn4ERINFnOeKs8zs?authuser=0&hl=en&rclk=1
ChIJ32_zZGDr9IgRxRRkmtt5Ufw,Dedicated Roofing of Georgia,,False,91,https://dedicatedroofs.com/,Dedicated Roofing of Georgia (Owner),https://www.google.com/maps/contrib/114425127036444030642,https://lh5.googleusercontent.com/p/AF1QipN4Mkb6zxZuZpH_VNp0kHkHpRsnxraCEziA0E8i=w426-h240-k-no,Roofing contractor,"Roofing contractor, Chimney services, Gutter cleaning service",5,9 AM-5 PM,"Saturday, Sunday",(770) 830-3933,"Dedicated Roofing of Georgia, 2011 Commerce Dr N Suite 207, Peachtree City, GA 30269","job, gutters, price, inspection, quality, home, communication, honest, attic, work",https://www.google.com/maps/place/Dedicated+Roofing+of+Georgia/data=!4m7!3m6!1s0x88f4eb6064f36fdf:0xfc5179db9a6414c5!8m2!3d33.4031056!4d-84.5976682!16s%2Fg%2F11fmztf3jw!19sChIJ32_zZGDr9IgRxRRkmtt5Ufw?authuser=0&hl=en&rclk=1
